source,target
257465738,325184625
466889037,244171350
549033684,507018881
275013962,318904929
180398332,563809421
13588275,304054
207634257,161567229
456925212,171768717
299908306,214097082
166627739,284260287
257066830,323878902
516146289,283228802
456494191,823336
257066830,548097163
516146289,76216251
619577615,628989733
44826987,9372750
414176127,361290282
419054284,221909757
281095868,307316714
246392839,120260690
25891559,422900872
358528631,542471973
249838483,531602713
560875125,299212322
353361625,322743726
401629439,294052818
352846445,371602608
401671432,157489100
244704883,20561866
379290263,184292548
199891666,9921893
222659660,218239225
447582384,539886255
247910399,25665780
419054284,139892310
320182139,240588113
13588275,11868551
430788636,380424902
440274570,518842216
427076362,157872504
569125867,235134025
119799833,3271197
169624922,297649237
257465738,282253653
183406465,74394068
246422438,226312878
540304869,1043215090
299197852,87690184
281095868,528024764
420893527,55155792
655632263,677956921
273881727,647748123
413065387,364298393
343048272,1348352
662741463,25891559
662741463,246827879
611408859,431131788
25891559,99550328
171332234,25198584
9030558,1832835
662741463,139084097
466646163,204696469
84295656,229658780
25891559,39264678
194971345,331278724
260771135,243225412
567877525,358774711
480719713,509499119
348609170,367980353
9030558,2774402
443977902,323154548
181226986,476551834
195438755,29745791
95176713,195276101
11582761,182058398
240443780,192062050
293967302,451761968
390860892,81390158
333156814,612347251
505117799,452236381
58314538,270249925
321776183,569037157
1841900,282479148
282107618,315433205
241514576,190936664
863599971,105741088
500581964,622014318
471276575,246276280
401629439,74056105
13588275,10677156
731564795,691841701
427076362,38927021
258611275,582666521
427076362,61306905
471276575,166099388
390860892,77560803
549033684,567851758
112082607,219992074
5856094,8650679
205420949,225372558
456494191,449100554
20447475,95205105
863599971,28004893
180398332,430247893
137037837,293977572
293967302,863808419
426246715,238823029
303690604,178213817
348759551,530063882
1756709,215045812
3408568,168739587
558255592,227167015
319628783,568162715
456494191,216432944
240443780,147631948
9030558,9896920
662741463,267607050
260771135,541041891
250496539,290645181
419054284,143611356
88785305,428862222
244704883,131741363
172710559,488243736
420893527,106771312
378015876,248341225
852669061,583684986
166627739,254300458
852669061,851350976
427076362,35168592
119799833,2460773
655632263,567903235
58314538,13052904
420893527,113812405
471276575,259765790
420893527,278886156
213374483,228863926
662741463,282479152
358528631,185405131
508522179,295899409
249838483,478434588
146553153,84834781
193200193,270545676
414176127,281931816
420893527,174172714
321776183,305215477
219057303,251131664
852669061,514666306
540304869,366168746
390860892,160169666
156110357,171332234
195438755,228049366
246422438,409345905
569125867,3339202
471276575,448760784
169624922,355468339
401629439,258435561
662741463,145888544
569125867,100531680
427076362,44047907
5856094,54504715
466889037,107003744
415644346,254438152
258846989,371230431
427076362,8759780
119447546,260785266
662741463,297734908
156110357,517876282
355467757,160488972
290659920,139782225
569125867,151220425
1841900,338679199
690736214,248821841
569125867,281957065
285212747,213666078
498156621,255210148
456494191,338073221
434667617,341871278
334376173,458836452
427076362,98782868
381144370,403737180
852669061,605150740
137037837,187808652
255366094,195880203
222659660,342347986
378015876,137906918
549033684,496771392
7894249,202110042
255458851,192648260
662741463,20195098
335892490,319774466
318768118,413488434
335892490,315286875
119799833,89742
178786625,182490495
508522179,333007233
4408195,5441461
34381710,1915445
146553153,21481368
465506973,256863536
390860892,167386091
347865855,528178856
569125867,347937029
428113258,411823239
390860892,161102857
222659660,225713130
335892490,191030732
195438755,312270514
112082607,38311868
3346542,4591588
13588275,18468782
647849421,59546153
9300105,52788543
181899699,2685175
256262373,29562503
506446286,196367030
13588275,22450488
281095868,5025102
655632263,648408183
358528631,143848725
107216947,390860892
244704883,217669053
267407970,384728072
258611275,611964707
281095868,626678762
159004480,394675717
655632263,238325941
549033684,229312814
662741463,135725700
567877525,210488439
420893527,262775787
41501022,578981853
366440124,176743239
11582761,146625922
420893527,257943388
171332234,43578750
420893527,371174422
299908306,229712414
228741614,172520360
456925212,192490680
402236678,168952305
852669061,831759443
260771135,701947008
36041325,15914559
549945399,181772784
124487696,689514484
271057290,389434383
480719713,336595945
549033684,368805815
619577615,302729656
171332234,172474835
358528631,439450094
348759551,691356386
155805141,212397580
9030558,32386739
346170864,240483454
428113258,321598968
282476961,543162977
293967302,290971055
430788636,484818476
662741463,127131839
285058343,352688909
300287042,368369307
169624922,793362469
549033684,539708593
171332234,222699574
428113258,391637257
455209110,14605681
346494351,219229595
252606151,168365488
428113258,298397438
402236678,526416146
173860653,9488598
690736214,547539431
456925212,401222605
299908306,352403307
471276575,166410319
69181460,138392954
219305476,213374483
9300105,3691225
240443780,822982948
190936664,236496668
456925212,180992466
728776785,594806270
135883377,355068407
428113258,411351557
195438755,344430474
173860653,104634182
427076362,198634677
731564795,745646130
135883377,141134334
156590923,421382267
267407970,418628614
146553153,18650064
424935755,541836974
181306939,514465931
348609170,88785305
228061240,268075322
852669061,574401695
246392839,298957
42735014,261148369
